Job Title,Company Name,Location,Job Type,Salary,Experience Level,Skills/Technologies Required,Benefits,Job Responsibilities/Duties,Job Posting Date,Job Description Length,Job Posting Platform,Job Posting ID
"Analyst, Business Intelligence",Healthmap Solutions,Anywhere,Full-time,,,"python, r, sql, ai, statistics",,"The position requires the ability to collect and synthesize complex data from multiple sources, provide intellectual rigor to analysis and interpretation processes, and derive meaningful insights that support the achievement of strategic and operational goals, This person will act as an internal consultant to other departments to support and facilitate their understanding of our data, They will maximize the use of our enterprise data warehouse and develop solutions that can be scaled, Perform functions related to problem definition, data collection, interpretation and analysis, visualization, and presentation/communication of results and recommendations, Maintain a working knowledge of healthcare coding and analytics techniques, Validate findings and continue to maintain implemented models, Observe patterns and create new attributes to address needs, and utilize across models, Manage time appropriately to deliver results, Ensure documentation of all processes, analyses, design, data definitions, and development, Work with various cross-functional teams including sales, product development, clinical, and care services, Requires HIPAA understanding and complete confidentiality protocols: Associate must demonstrate understanding and sign confidentiality documents, Comply with HIPAA privacy laws and all other federal, state, and local regulations, Report suspected or detected security events via company provided communication channels, Follow all company-defined operational policies and procedures, Protect and maintain confidentiality of company and customer information, policies, and processes, Perform other related duties as assigned",2024/10/31,3228,"Jobvite, Jobilize",eyJqb2JfdGl0bGUiOiJBbmFseXN0LCBCdXNpbmVzcyBJbnRlbGxpZ2VuY2UiLCJjb21wYW55X25hbWUiOiJIZWFsdGhtYXAgU29sdXRpb25zIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoiOGU5bkFiRFdQQ1lPLWZSSUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9
Data Analyst - Business Intelligence,"PDS Inc, LLC","Denver, CO",Full-time,$100 ,Mid-level,"python, r, sql, ai, statistics",Compensation: $100-130k DOE,"Optimize, update, and maintain Spotfire reports/dashboards, Analyze datasets for KPIs, benchmarking, and business improvements, Collaborate with business teams on reports, dashboards, and analytics projects, Create and manage corporate BI projects, Train users on BI tools, Deploy data queries and models for business needs, Present analytic findings to technical and non-technical audiences, Handle multiple projects in a fast-paced environment",,1192,"PDS Inc, LLC",eyJqb2JfdGl0bGUiOiJEYXRhIEFuYWx5c3QgLSBCdXNpbmVzcyBJbnRlbGxpZ2VuY2UiLCJjb21wYW55X25hbWUiOiJQRFMgSW5jLCBMTEMiLCJhZGRyZXNzX2NpdHkiOiJEZW52ZXIsIENPIiwiaHRpZG9jaWQiOiI1Nk42NEZwaE1NMG5ON2Z5QUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=
Sr. Business Intelligence Analyst,100,"Westminster, CO",Full-time,,Senior-level,"python, r, sql, ai, statistics","Trimbles Privacy Policy - Pay Equity - Trimble provides the following compensation range and general description of other compensation and benefits that it in good faith believes it might pay and/or offer for this position, This compensation range is based on a full time schedule, Trimble reserves the right to ultimately pay more or less than the posted range and offer additional benefits and other compensation, depending on circumstances not related to an applicants sex or other status protected by local, state, or federal law, Hiring Range: 105682 - 142676 - Bonus Eligible?, Yes - Trimble offers comprehensive core benefits that include Medical, Dental, Vision, Life, Disability, Time off plans and retirement plans, Most of our businesses also offer tax savings plans for health, dependent care and commuter expenses as well as Paid Parental Leave and Employee Stock Purchase Plan","In this new position, youll spearhead data analysis initiatives and foster strong stakeholder relationships, Your role will center on leveraging your expertise in relational databases, SQL, and various business intelligence tools such as Salesforce, Tableau, Domo, and Power BI to drive impactful insights and strategic decision-making across the region, Youll work closely with various cross-functional teams to collaborate on global projects, Collaborate with cross-functional teams to identify key business requirements and translate them into analytical solutions, Develop and maintain robust data models, reports, and dashboards to analyze and visualize complex datasets and conduct in-depth data analysis to identify trends, patterns, and insights that support strategic business initiatives, Proactively monitor data quality, integrity, and accuracy to ensure the reliability of reports and analysis, Create and deliver compelling data presentations to communicate findings and recommendations to stakeholders at various levels of the organization, Collaborate with stakeholders to understand their needs, provide analytical support, and offer data-driven insights to support their decision-making processes, Identify opportunities for process improvements and data-driven optimizations, and work closely with stakeholders to implement them, Stay up-to-date with industry trends, best practices, and emerging technologies related to data analysis and business intelligence tools, Mentor and guide junior data analysts, providing technical expertise and promoting a culture of data-driven decision making, The expectation is that the individual that will fill this role is able to operate as an onsite or as a hybrid employee, reporting to the office 3-5 days per week About Our AECO Division Architects, Engineers, Construction and Owners (""AECO""), This segment primarily provides software solutions, which sell through a direct channel to customers in the construction industry",,7120,"Workday, Local Job Network, Jooble, Adzuna, Diversity Jobs, BeBee, VetJobs, Jobilize",eyJqb2JfdGl0bGUiOiJTci4gQnVzaW5lc3MgSW50ZWxsaWdlbmNlIEFuYWx5c3QiLCJjb21wYW55X25hbWUiOiIxMDAiLCJhZGRyZXNzX2NpdHkiOiJXZXN0bWluc3RlciwgQ08iLCJodGlkb2NpZCI6IjBnNEhyVTVCVE1mNHl4eXBBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==
Senior Business Intelligence Analyst - Clinical (Patient Safety / Quality),Memorial Sloan Kettering Cancer Center,United States,Full-time,"$130,700 ",Senior-level,"python, r, sql, ai","Pay Range: $130,700.00-$215,800.00 Company Overview:, Pay Range: $120,200 - $192,300, MSK Compensation Philosophy","By leveraging data from both internal and external sources, you will identify trends, interpret patterns, and forecast future outcomes, providing actionable recommendations that support MSKs vision for innovative, patient-centered care, Your expertise will help shape strategic and tactical plans, enabling us to stay at the forefront of cancer research and treatment, Analyzes Reporting architecture issues for current and new systems; formulates design specifications, Analyzes business requirements and proposes/recommends technical solutions for reporting and analytics, Provides analytics solutions to solve business issues, Design and implement new reporting and analytics road map, Analyze the new releases across all reporting and analytics functions and implement the new changes as per the departmental plan, This position will serve as a primary resource for data requests from applications within their scope, The position will involve routine data queries, as well as building complex data solutions including but not limited to composite reports, scorecards, and dashboards, The position will also monitor changes within various tools and react to them appropriately with configuration changes and stakeholder communication, Develops and maintains simple to complex application reports (advanced, composite and matrix, Scorecards, Dashboards, etc.), Stay informed of new functionality available in databases and analytics applications and drive the deployment of feature releases, Coordinates testing on applications; ensures quality of applications provided to users; coordinates the quality of systems changes, Performs and coordinates test plans for assigned projects, Proactively identifies recommendations to make the solution, In depth understanding of business processes being supported, Schedule: Full Time, Hybrid onsite 3 days a month, Reporting to the Associate Director, Analytics",2024/10/23,5819,"Glassdoor, HBCU Careers, Jobilize",eyJqb2JfdGl0bGUiOiJTZW5pb3IgQnVzaW5lc3MgSW50ZWxsaWdlbmNlIEFuYWx5c3QgLSBDbGluaWNhbCAoUGF0aWVudCBTYWZldHkgLyBRdWFsaXR5KSIsImNvbXBhbnlfbmFtZSI6Ik1lbW9yaWFsIFNsb2FuIEtldHRlcmluZyBDYW5jZXIgQ2VudGVyIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoiUmN6NGE4bmJTQldiZXcySUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9
Business Intelligence Data Analyst,Intuitive,United States,Full-time,"$125,200 - $180,200",,"python, r, sql, machine learning, ai, cloud, statistics","We provide market-competitive compensation packages, inclusive of base pay, incentives, benefits, and equity, It would not be typical for someone to be hired at the top end of range for the role, as actual pay will be determined based on several factors, including experience, skills, and qualifications, Base Salary Range Region 1:$125,200 - $180,200, Base Salary Range Region 2: $106,400 - $153,200","We are seeking a skilled and proactive Data Analyst to join our Business Intelligence & Enablement team, The successful candidate will work closely with the Professional Education and Program Services (PEPS) department, focusing on analyzing data to uncover insights that drive data-driven decision-making, building dynamic reports, and developing insights for the adoption of new technologies and platforms, This role will play a key part in helping the organization monitor the state of the business, optimize growth strategies, and improve operational efficiency, Support the PEPS department in implementing data solutions that improve the business's ability to anticipate trends and make proactive decisions, Analyze large and complex datasets to uncover patterns and insights that inform strategic and operational decisions within the PEPS department to ultimately establish the state-of-the-business, Develop predictive and prescriptive models to support forecasting, and optimization of business processes, outlining opportunities for growth and efficiency across each business unit, Perform statistical analysis and hypothesis testing to validate data-driven insights and recommendations leveraging current and unexplored key performance indicators (KPI), Work with cross-functional teams to develop data products and tools that support the adoption of new technologies and business intelligence solutions, Work closely with data engineers, finance, and other teams to ensure seamless integration of data science models into business intelligence platforms, Present clear, actionable insights to stakeholders, offering recommendations for performance improvement and efficiency gains, Travel up to 10%, Travel: 10% of the time, Workplace Type: Remote - This job will be remote and/or the job is designed to be performed outside of the office",2024/11/5,6101,"Adzuna, Jobilize",eyJqb2JfdGl0bGUiOiJCdXNpbmVzcyBJbnRlbGxpZ2VuY2UgRGF0YSBBbmFseXN0IiwiY29tcGFueV9uYW1lIjoiSW50dWl0aXZlIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoiUlFMMEg5djByUXNTM09IZUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9
"Business Intelligence Analyst - Englewood, CO",Georgia IT Inc.,"Englewood, CO",Full-time,$100 ,,"r, ai",Salary: $100K - $105K (DOE) Negotiable,"The Business Intelligence Functional Analyst performs OBIEE report enhancement, source systems analysis, requirements gathering and documentation; workflow management and incident ownership; tier 2 and tier 3 support for BI applications; training and user assistance, Disseminates information regarding tools, reports, or metadata enhancements, Maintains or updates business intelligence tools, databases, dashboards, systems, or methods, Provides technical support for existing reports, dashboards, or other tools, Maintains library of documents, templates, or other reusable knowledge assets, Creates or reviews technical design documentation to ensure the accurate development of reporting solutions, Communicates with customers, suppliers, professional organizations, or others, Documents specifications for business intelligence reports, dashboards, or other outputs, Generates standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders, Owns incidents in the BI workspace through their entire lifecycle, Manages systems requests as small projects in the BI workspace, Performs BI, ETL and database requirements gathering and documentation for systems requests and projects, Field tickets regarding BI environment incidents or systems requests, Interact with end users to clarify incidents or gather detailed requirements for systems requests or projects, Manage tickets through the ECS BI team workflow, Gather and document requirements for reports, dashboards, ETL and database requests or projects, Coordinate small project requests, Facilitate JAD sessions for report mock ups, Support users through troubleshooting or training activities, Adhere to, maintain, and enhance internal processes and procedures, Validate and analyze data sourced from the ECS DW and related source systems, Build, fix or enhance OBIEE dashboards, reports and RPD",,2330,"Monster, JoPilot",eyJqb2JfdGl0bGUiOiJCdXNpbmVzcyBJbnRlbGxpZ2VuY2UgQW5hbHlzdCAtIEVuZ2xld29vZCwgQ08iLCJjb21wYW55X25hbWUiOiJHZW9yZ2lhIElUIEluYy4iLCJhZGRyZXNzX2NpdHkiOiJFbmdsZXdvb2QsIENPIiwiaHRpZG9jaWQiOiJqaEVLQmtlNGhYWlc4VUduQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=
Sales Business Intelligence Analyst,The Mom Project,Colorado,Full-time,,,"python, r, sql, ai, statistics","Familiarity with statistical analysis and data mining techniques is a plus.We offer a competitive salary range for this position, Most candidates who join our team are hired at the median of this range, ensuring fair and equitable compensation based on experience and qualifications, Perks are available through our 3rd Party Employer of Record (Available upon completion of waiting period for eligible engagements)Health Benefits: Medical, Dental, Vision, 401k, FSA, Commuter Benefit ProgramAn Equal Opportunity Employer","Core technologies in positioning, modeling, connectivity and data analytics connect the digital and physical worlds to improve productivity, quality, safety, transparency and sustainability, We are seeking a Sales Business Intelligence Analyst on a contract basis to support our Customers business needs, What You'll Do:Collaborate with cross-functional teams to identify key business requirements and translate them into analytical solutions, Develop and maintain robust data models, reports, and dashboards to analyze and visualize complex datasets, Conduct in-depth data analysis to identify trends, patterns, and insights that support strategic business initiatives, Proactively monitor data quality, integrity, and accuracy to ensure the reliability of reports and analysis, Create and deliver compelling data presentations to communicate findings and recommendations to stakeholders at various levels of the organization, Collaborate with stakeholders to understand their needs, provide analytical support, and offer data-driven insights to support their decision-making processes, Identify opportunities for process improvements and data-driven optimizations, and work closely with stakeholders to implement them, Stay up-to-date with industry trends, best practices, and emerging technologies related to data analysis and business intelligence tools",2024/10/11,4284,Jobbio,eyJqb2JfdGl0bGUiOiJTYWxlcyBCdXNpbmVzcyBJbnRlbGxpZ2VuY2UgQW5hbHlzdCIsImNvbXBhbnlfbmFtZSI6IlRoZSBNb20gUHJvamVjdCIsImFkZHJlc3NfY2l0eSI6IkNvbG9yYWRvIiwiaHRpZG9jaWQiOiJ4dDBtdzF6c0ZlWXZ5WEdFQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=
Analyst - Healthcare Informatics and Business Intelligence,Waymark,United States,Full-time,"$138,000 ",,"python, r, sql, ai","US employees in New York City, Seattle, or the San Francisco Bay Area: $138,000.00 - $166,000.00 USD, US employees in Austin, Boston, Chicago, Denver, San Diego & Washington DC: $127,000.00 - $152,000.00 USD, US employees outside of the above listed US Cities: $100,000.00 - $130,000.00 USD , Additionally, compensation will depend on other factors, training, education, and experience, Benefits and Other Compensation: Medical, vision, dental, basic life insurance, and stock options available for the hired applicant, Employees also receive twenty (20) vacation days, accrued over the year and eleven (11) paid holidays throughout the calendar year, Sixteen (16) weeks of parental leave for birthing parents will also be available for use after successful completion of 6 months of employment, eight (8) weeks of bonding leave for non-birthing parents, Employees are able to enroll in our 401(k) plan and commuter benefits plan","The analyst will work on a multi-disciplinary and service-oriented team that gathers and analyzes large-scale healthcare datasets from multiple sources (e.g., health insurance claims, care management software, electronic health records) to help enable comprehensive care for low-income patients by delivering actionable business intelligence used throughout the organization, Develop and maintain the analytics codebase, data model, and dashboards that enable care teams to deliver timely and critical interventions to patients, Cultivate a culture of data exploration and evidence-based decision-making across all levels, from leadership to front-line health workers, Generate automated reports that provide insights on patient engagement, quality of care, and health care expenditure, aiding our partnering primary care providers and health plans in making informed decisions, Participate in in-person company retreats, fostering team unity and organizational growth",,5095,Useparallel.com,eyJqb2JfdGl0bGUiOiJBbmFseXN0IC0gSGVhbHRoY2FyZSBJbmZvcm1hdGljcyBhbmQgQnVzaW5lc3MgSW50ZWxsaWdlbmNlIiwiY29tcGFueV9uYW1lIjoiV2F5bWFyayIsImFkZHJlc3NfY2l0eSI6IlVuaXRlZCBTdGF0ZXMiLCJodGlkb2NpZCI6Ik5xUU50SnBhZFBJdk45UXdBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==
Senior/Principal Business Intelligence Analyst,Billings Clinic,"Rocky Ford, CO",Full-time,"$78,915 - $112,694",Senior-level,"python, r, sql, ai","Amazing outdoor recreation is just minutes from home, We provide a comprehensive and competitive benefits package to all full-time employees (minimum of 24 hours/week), including Medical, Dental, Vision, 403(b) Retirement Plan with employer matching, Defined Contribution Pension Plan, Paid Time Off, employee wellness program, and much more, Click here for more information or download the Employee Benefits Guide, Hours per Pay Period: 1.00 = 80 hours (Exempt), Starting Wage DOE: $78,915 - $112,694","The BI Analyst is responsible for developing analytics for all areas of Billings Clinic business segments, This entails gathering specifications, extracting, interpreting, and analyzing data through report and data visualization development to deliver actionable insights, Creates actionable data insights that highlight key performance indicators, identifies areas of opportunity for current operations, and displays root cause analysis of problems, Data Storytelling; effectively designs and communicates data insights using narratives and visualizations, Integrates components of the Microsoft Power Platform to deliver data insights and trigger downstream processes, (Power BI, Power Apps, Power Automate), Guides the adoption, development and implementation of new analytic tools, technologies, and practices, Promotes data literacy within the organization by maintaining the ability to read, write and communicate data in context, including an understanding of data sources and constructs, analytical methods and techniques applied, and the ability to describe the use case, application and resulting value, Maintains an understanding of business workflows and processes to support data initiatives, Creates presentations for stakeholders and/or leadership to highlight key analysis takeaways, Creates and manages data validation plans to ensure data presented is trusted, Supports self-service BI users in their understanding of data and tools, Provides reporting solutions and responds to ad-hoc report requests from the business unit, Develops and converts user requirements into technical specifications for development, Knowledge of and adherence to agile software development lifecycle, Performs other duties as assigned or needed to meet the needs of the department/organization, Supports and models behaviors consistent with Billings Clinic's mission, vision, values, code of business conduct and service expectations, Meets all mandatory organizational and departmental requirements, Maintains competency in all organizational, departmental and outside agency standards as it relates to the environment, employee, patient safety or job performance",,8606,"Ladders, Jobilize",eyJqb2JfdGl0bGUiOiJTZW5pb3IvUHJpbmNpcGFsIEJ1c2luZXNzIEludGVsbGlnZW5jZSBBbmFseXN0IiwiY29tcGFueV9uYW1lIjoiQmlsbGluZ3MgQ2xpbmljIiwiYWRkcmVzc19jaXR5IjoiUm9ja3kgRm9yZCwgQ08iLCJodGlkb2NpZCI6IkFBWGlRYndvZ0RXNzNPdm5BQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==
Business Data Analyst - US,AEM,"Longmont, CO",Full-time,"$60,000 - $110,000",Senior-level,"r, sql, ai, statistics","US Compensation Range: A reasonable estimate of the current salary range for this position is $60,000 - $110,000 per year","The Operational Business Data Analyst will play a critical role in driving data-driven decision-making processes across the organization, This position involves analyzing complex data sets, developing insightful reports, and providing actionable recommendations to improve operational efficiency and business outcomes, Data Analysis and Reporting:, Collect, clean, and analyze large datasets to identify trends, patterns, and insights, Develop and maintain dashboards and reports to monitor key performance indicators (KPIs), Provide regular and ad-hoc reporting to management and other stakeholders, Operational Efficiency:, Analyze operational processes to identify areas for improvement, Develop models and simulations to forecast operational outcomes and support decision-making, Collaborate with cross-functional teams to implement process improvements, Translate complex data into clear and actionable business insights, Present findings and recommendations to senior management, Support strategic planning initiatives with data-driven insights, Data Management:, Ensure data integrity and accuracy by implementing data quality best practices, Develop and maintain data documentation and standard operating procedures (SOPs), Work with IT and other departments to enhance data collection and analysis processes, Project Support:, Assist in the development and execution of operational projects, Provide data support for new initiatives and strategic projects, Monitor and evaluate project outcomes using data analysis, This job description may not be inclusive of all assigned duties, responsibilities, or aspects of the job described, and may be amended at any time at the sole discretion of the Employer",2024/11/4,4548,"ZipRecruiter, Dice, Recruit.net, Jobilize",eyJqb2JfdGl0bGUiOiJCdXNpbmVzcyBEYXRhIEFuYWx5c3QgLSBVUyIsImNvbXBhbnlfbmFtZSI6IkFFTSIsImFkZHJlc3NfY2l0eSI6Ikxvbmdtb250LCBDTyIsImh0aWRvY2lkIjoiT3F3aVR5RlBWYVAxNTJJVUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9
"Senior Data Analyst, BI",Denver Broncos,"Denver, CO",Full-time,,Senior-level,"python, r, sql, machine learning, ai",,"BI and Data Analyst is responsible for planning and creating data-driven initiatives supporting multiple business functions, This role is primarily responsible for collecting, analyzing, and interpreting large amounts of data from various sources, and transforming it into meaningful insights that can be used to improve business performance, Build high-quality data visualizations, dashboards, and reports for organization-wide use, including executive management and all business department, primarily leveraging Tableau, Identify new KPIs to track metrics against goals and provide actionable business insights, Works cross-functionally to collect data and makes actionable recommendations at all levels, Present findings and recommendations to all stakeholders, including executive management and department heads, Help build and update regular reports and build ad-hoc analyses supporting ticketing, sponsorship, marketing, and other business related functions, Lead meetings regularly with the executive team and department heads to understand their needs and challenges and work to craft and explain data lead solutions, Data Preparation and Model Development:, Help complete entire data analysis life cycle from procuring and cleaning raw data, identifying key insights, and working with others on the BI team to create interactive dashboards displaying those key insights, Design, engineer and maintain analytical tools and models using statistical or data science approach and develop custom algorithms to create business solutions, Collaborate with data and analytics team to ensure operational and business metric health by monitoring key decision points and provide actionable insights, Ensure data accuracy, completeness, and consistency by establishing data governance policies and procedures, Ensure compliance with GDPR, CCPA, and any other data regulations, Review current business operation processes to identify automation opportunities within current data environment, Co llaborate with data and analytics team to ensure operational and business metric health by monitoring key decision points and provide actionable insights, Engage and Collaborate with multiple departments to find opportunities, understand requirements, and translate into technical data science solutions, Research new technologies and methods across data science, data engineering, and data visualization to improve the technical capabilities of the team, Other projects and duties as assigned",2024/11/5,3594,"DataAnalyst.com, BeBee, Rise AI Job Search | Tech Startup Jobs, Remote Jobs Hiring Now, Jobs Trabajo.org",eyJqb2JfdGl0bGUiOiJTZW5pb3IgRGF0YSBBbmFseXN0LCBCSSIsImNvbXBhbnlfbmFtZSI6IkRlbnZlciBCcm9uY29zIiwiYWRkcmVzc19jaXR5IjoiRGVudmVyLCBDTyIsImh0aWRvY2lkIjoiaXVzUGlNN2p4T3V6ZXh6SUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9
Senior Business Intelligence Analyst  Revenue Cycle,Memorial Sloan Kettering Cancer Center,United States,Full-time,"$130,700 ",Senior-level,"python, r, sql, ai","Pay Range: $130,700.00-$215,800.00 Company Overview:, Pay Range: $120,200 - $192,300, MSK Compensation Philosophy","You'll work on high-priority platforms supported by Digital Products & Informatics (DP&I), which focuses on the powerful interaction between people, processes, and technology to help deliver excellent care to its patients, As part of our team, you'll manage a suite of clinical information systems, including the electronic health record and ancillary systems, ensuring decision support, health information exchange, and knowledge management, This role will provide you the chance to not only shape our revenue cycle strategies but also mentor and guide junior team members in a dynamic, collaborative, and growth-focused environment, Analyze revenue cycle data to uncover trends, issues, and improvement opportunities in billing, collections, and financial performance, Collaborate with business users to understand their processes, gather and document requirements, and translate them into functional specifications for dashboards and reports, Design and optimize dimensional data models to support the reporting infrastructure, Identify project risks and work proactively with the team to deliver on project scope and timelines, Support the development of data governance processes, ensuring high data integrity through established policies and procedures, Create ad-hoc reports and queries and develop test plans to ensure the quality of reporting solutions, Provide leadership and technical insight, identifying system deficiencies, analyzing problems, and implementing corrective actions, Schedule: Full Time, Hybrid onsite 3 days a month, Reporting to the Associate Director, Analytics",2024/10/23,5780,Glassdoor,eyJqb2JfdGl0bGUiOiJTZW5pb3IgQnVzaW5lc3MgSW50ZWxsaWdlbmNlIEFuYWx5c3Qg4oCTIFJldmVudWUgQ3ljbGUiLCJjb21wYW55X25hbWUiOiJNZW1vcmlhbCBTbG9hbiBLZXR0ZXJpbmcgQ2FuY2VyIENlbnRlciIsImFkZHJlc3NfY2l0eSI6IlVuaXRlZCBTdGF0ZXMiLCJodGlkb2NpZCI6ImoxN2QzNmprXy16M0hIZnRBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==
AIML - Research Scientist/Engineer,Apple,"Santa Clara, CA",Full-time,"$143,100 ",,"python, r, machine learning, deep learning, ai","solutions as a team and value clear-eyed feedback, Pay & Benefits, Pay & Benefits, At Apple, base pay is one part of our total compensation package and is determined within a range, This provides the opportunity to progress as you grow and develop within a role, The base pay range for this role is between $143,100 and $264,200, and your base pay will depend on your skills, qualifications, experience, and location, Apple employees also have the opportunity to become an Apple shareholder through participation in Apples discretionary employee stock programs, Apple employees are eligible for discretionary restricted stock unit awards, and can purchase Apple stock at a discount if voluntarily participating in Apples Employee Stock Purchase Plan, Youll also receive benefits including: Comprehensive medical and dental coverage, retirement benefits, a range of discounted products and free services, and for formal education related to advancing your career at Apple, reimbursement for certain educational expenses  including tuition, Additionally, this role might be eligible for discretionary bonuses or commission payments as well as relocation, Note: Apple benefit, compensation and employee stock programs are subject to eligibility requirements and other terms of the applicable plan or program","You will work in an organization of world-class machine learning, Lean habits: You cant grow without limits, encourage us to sharpen our focus and learn to make phenomenal decisions, You deliver clean, well-tested code",,4004,"Careers At Apple, ZipRecruiter, Dice.com, SWE Career Center, BeBee, Ladders, Indeed, SimplyHired",eyJqb2JfdGl0bGUiOiJBSU1MIC0gUmVzZWFyY2ggU2NpZW50aXN0L0VuZ2luZWVyIiwiY29tcGFueV9uYW1lIjoiQXBwbGUiLCJhZGRyZXNzX2NpdHkiOiJTYW50YSBDbGFyYSwgQ0EiLCJodGlkb2NpZCI6ImI5RmpGSUV3cU4wQjhCdHVBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==
Machine Learning Research Scientist,Leidos,"Herndon, VA",Full-time,"$122,200 ",,"python, r, machine learning, ai, cloud","Pay Range $122,200.00 - $220,900.00, The Leidos pay range for this job level is a general guideline only and not a guarantee of compensation or salary","The innovative technical solutions will advance the state of the art in machine learning and/or artificial intelligence while addressing long-term problems of importance to national security, Serve in the role of principal investigator on contract R&D and internal R&D programs, Engage R&D customers and transition partners to develop new business opportunities and leading teams of researchers and engineers in the development, adaptation, and extension of innovative ML-based approaches and solutions across a range of technical areas and application domains, for diverse and often disparate types of data and complexity, and for projects that are inherently both fundamental and applied in nature, Have a hands-on role and expected to customize and create various machine learning algorithms to operate over multi-domain data and optimizing the performance of those algorithms on the data, Develop expertise in one or more technical domains, demonstrating ability to automate, extract, and prepare features from multi-domain datasets as well as modify and optimize various models within their technical domain, For example, they may adapt NLP libraries/toolkits that include transformer models like BERT and ChatGPT, as well as Stanford CoreNLP, Spacy, NLTK, Word2Vec, and Gensim for linguistics application or models like SSD, YOLO, DINO, and Faster-RCNN for computer vision tasks",2024/11/5,6366,"Leidos Careers, BeBee, JobzMall, JoPilot, Learn4Good, IT Tech Careers",eyJqb2JfdGl0bGUiOiJNYWNoaW5lIExlYXJuaW5nIFJlc2VhcmNoIFNjaWVudGlzdCIsImNvbXBhbnlfbmFtZSI6IkxlaWRvcyIsImFkZHJlc3NfY2l0eSI6Ikhlcm5kb24sIFZBIiwiaHRpZG9jaWQiOiJ1aXY5UlhTN1dSXzU1WVpDQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=
"Applied Research Scientist, Instagram Core ML (PhD)",Instagram,"San Francisco, CA (+2 others)",Full-time,,,"r, machine learning, ai",,,2024/11/5,842,"Instagram, Meta Careers, LinkedIn, Indeed, ZipRecruiter, Glassdoor, PowerToFly, The Muse",eyJqb2JfdGl0bGUiOiJBcHBsaWVkIFJlc2VhcmNoIFNjaWVudGlzdCwgSW5zdGFncmFtIENvcmUgTUwgKFBoRCkiLCJjb21wYW55X25hbWUiOiJJbnN0YWdyYW0iLCJhZGRyZXNzX2NpdHkiOiJTYW4gRnJhbmNpc2NvLCBDQSIsImh0aWRvY2lkIjoidlF3QkRXb0NZUnRmTE1xMkFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9
