job_title,company_name,sector,location,job_type,salary_range,experience_level,education_requirements,required_skills,responsibilities,years_experience,benefits,work_mode,posting_date,job_description_length,required_certifications,team_size,company_size,posting_platform,company_culture,visa_sponsorship,working_hours,language_requirements,travel_requirements,collaboration_tools,reporting_structure,learning_opportunities,stock_options,soft_skills,perks,job_id,via
Cleared Data Scientist (All Levels),Noblis,Data Science,"Denver, CO",Full-time,"$70,800 - $178,300","Junior-Level, Mid-Level, Senior-Level, Expert-Level","STEM field such as computer science, statistics, data analytics, computer engineering, mathematics, and physics","Python, NiFi, PostgreSQL/SQL, Spark, Git","Develop and train new machine learning models, Identify, curate, and process large data sets, Research, apply, analyze, and document technical approaches and their outcomes","1-2 years for Junior-Level, 2-4 years for Mid-Level, 3-5 years for Senior-Level, 5+ years for Expert-Level","Health insurance, Competitive compensation, Total Rewards package",On-site,,Long,TS/SCI Clearance,,,Noblis - Careers - ICIMS,"Mission-driven, Employee-focused",,,,,,,"Professional development, Tuition assistance",,,"Paid leave, Work-life programs",eyJqb2JfdGl0bGUiOiJDbGVhcmVkIERhdGEgU2NpZW50aXN0IChBbGwgTGV2ZWxzKSIsImNvbXBhbnlfbmFtZSI6Ik5vYmxpcyIsImFkZHJlc3NfY2l0eSI6IkRlbnZlciwgQ08iLCJodGlkb2NpZCI6IkNjdXkyUjRDTVlYV1EzSnRBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,
Transcription Data Scientist,Dexperts Inc,,"Centennial, CO",Contractor,,3-5+ years,,"LLM Large Language Models, Python, SQL, Text data experience/word embedding","Build a team of Data Scientists to support real-time transcription, develop AI models with transcripts, improve LLMs for GenAI, build ChatGPT",3-5+ years,,"Hybrid 4 days onsite, 1 day remote",11 hours ago,Long,,10,,Dice.com,,,,,,,,,,,,eyJqb2JfdGl0bGUiOiJIeWJyaWQ6IFRyYW5zY3JpcHRpb24gRGF0YSBTY2llbnRpc3QgcG9zaXRpb24gb3BlbnMgd2l0aCBteSBDbGllbnQiLCJjb21wYW55X25hbWUiOiJEZXhwZXJ0cyBJbmMiLCJhZGRyZXNzX2NpdHkiOiJDZW50ZW5uaWFsLCBDTyIsImh0aWRvY2lkIjoiVFYwalFzSVdyUlJMSTN3MUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
"Data Scientist (Python + Oracle SQL / PLSQL) - Jersey City, NJ",Photon Career Site,,United States,Full-time,,,,"Machine learning, hypothesis testing, regression analysis, predictive modeling, natural language processing, Python, SQL, Oracle database, Google BERT, LLama3, RAG, model documentation, model governance",Work with business SMEs to understand data requirements and translate them into predictive models and analytical tools. Apply techniques in Generative AI and Large Language Models and applied mathematics to develop summarization and question/answer model. Present information using data visualization techniques and communicate findings and mine useful insights. Assess the effectiveness and accuracy of new data sources and data gathering techniques. Develop processes and tools to monitor and analyze model performance.,,,,2 days ago,,,,,Oracle,,,,,,,,,,,,eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVudGlzdCAoUHl0aG9uICsgT3JhY2xlIFNRTCAvIFBMU1FMKSAtIEplcnNleSBDaXR5LCBOSiIsImNvbXBhbnlfbmFtZSI6IlBob3RvbiBDYXJlZXIgU2l0ZSIsImFkZHJlc3NfY2l0eSI6IlVuaXRlZCBTdGF0ZXMiLCJodGlkb2NpZCI6InBkc3FFQUZNOW9NNVc5SHVBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,
Center for Black Digital Research Data Scientist,The Pennsylvania State University,Research,United States,Full-time,"$86,300.00 - $129,500.00",6+ years,Master's degree OR terminal degree in relevant subject area,"Data analysis, data visualization, computational techniques, machine learning","Lead technical innovations, develop training programs, supervise project teams, author papers and proposals",6+ years,,,3 days ago,Long,,,,Workday,"Community-building, ethical collaboration, shared leadership",,,,,,,Training and mentorship programs,,"Excellent written and oral communication, problem-solving, team building",,eyJqb2JfdGl0bGUiOiJDZW50ZXIgZm9yIEJsYWNrIERpZ2l0YWwgUmVzZWFyY2ggRGF0YSBTY2llbnRpc3QiLCJjb21wYW55X25hbWUiOiJUaGUgUGVubnN5bHZhbmlhIFN0YXRlIFVuaXZlcnNpdHkiLCJhZGRyZXNzX2NpdHkiOiJVbml0ZWQgU3RhdGVzIiwiaHRpZG9jaWQiOiJ0bDgzM1RqTTIzQkdLVllQQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,
Data Scientist II,Grubhub Holdings Inc.,Technology,United States,Full-time,"$141,000 - $211,000 base salary range","4+ years experience with data analytics, machine learning, or related field",MS/PhD in quantitative discipline or equivalent experience,"Pandas, Python machine learning libraries, PyTorch, TensorFlow, information retrieval, recommendation systems, GPT, LLAMA, BERT, data engineering, pyspark, hive","Developing and optimizing ad recommendation systems, creating metrics dashboards, mentoring junior data scientists, advising on algorithmic trade-offs, collaborating with product and engineering teams",4+ years,"Health insurance, dental insurance, paid time off, equity, bonus, flexible PTO, medical, dental, vision benefits, 401k matching, paid parental leave, free meals, social impact programs",,26 days ago,Long,,,,Wd3.Myworkdaysite.com,"Innovative, teamwork, empowering, diverse, fun",,,,,,,Continuous learning encouraged,Role-specific,"Strong relationships, embraces diverse ideas","Generous incentives, commission, RSUs",eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVudGlzdCBJSSIsImNvbXBhbnlfbmFtZSI6IkdydWJodWIgSG9sZGluZ3MgSW5jLiIsImFkZHJlc3NfY2l0eSI6IlVuaXRlZCBTdGF0ZXMiLCJodGlkb2NpZCI6IkFTYnFhWUNOZ0psMkNVV0JBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,
Computational/Data Scientist,Northwestern University Feinberg School of Medicine,Life Sciences,United States,Full-time,75K-90K a year,PhD or MD degree,PhD or MD degree,"Statistics, Python, R, Matlab",Using computational tools to study mouse behavior and neuronal circuits,,"Equal Opportunity, Affirmative Action Employer",,,Long,,,,JobRxiv,,Hiring is contingent upon eligibility to work in the United States,,,,Deep Lab Cut,,,,,,eyJqb2JfdGl0bGUiOiJDb21wdXRhdGlvbmFsL0RhdGEgU2NpZW50aXN0IiwiY29tcGFueV9uYW1lIjoiTm9ydGh3ZXN0ZXJuIFVuaXZlcnNpdHkgRmVpbmJlcmcgU2Nob29sIG9mIE1lZGljaW5lIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoiY2xmS1pYNFFwLThMMFhGckFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
ALX Data Scientist (Learning Experience),Sand Technologies,"Data Science, Machine Learning, Data Engineering, AI",Anywhere,Full-time,,Experienced,Master's degree or PhD in a STEM or related computational field,"Machine learning algorithms, Large Language Models, analytics, data projects, cloud infrastructure, programming languages (Python, SQL), Git, GitHub","Research and develop learning objectives and activities in Data Science, Machine Learning, Data Engineering, and AI",+3 years,,Remote,4 days ago,Long,AWS certified,,,Built In,"Tech-fluent, innovative, global network",,,English,,,,Cutting-edge technology training programs,,"Analytical, problem-solving, innovative, research-driven, team player",,eyJqb2JfdGl0bGUiOiJBTFggRGF0YSBTY2llbnRpc3QgKExlYXJuaW5nIEV4cGVyaWVuY2UpIiwiY29tcGFueV9uYW1lIjoiU2FuZCBUZWNobm9sb2dpZXMiLCJhZGRyZXNzX2NpdHkiOiJVbml0ZWQgU3RhdGVzIiwiaHRpZG9jaWQiOiI0RmZfUHBBOHlUN0VKeVJCQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,
Data Scientist I - ML,Cotiviti,Healthcare,United States,Full-time,"$93,000.00 - $115,000.00",3+ years,Master's degree in relevant discipline or commensurate professional experience,"Machine Learning, Big Data Analysis, Consulting, Statistical Analysis, Financial Analysis, Functional Programming","Develop machine learning solutions to address healthcare issues, work with stakeholders to assess business problems, deploy models into production, collaborate with data science teams, provide end-to-end solutions",3+ years,"Medical, dental, vision, disability, and life insurance coverage, 401(k) savings plans, paid family leave, 9 paid holidays per year, 17-27 days of Paid Time Off (PTO) per year",Remote,9/16/2024,Long,,,,Cotiviti | Careers Center - ICIMS,,,,,,"GitHub/BitBucket, Jenkins, Jira",,,,,,eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVudGlzdCBJIC0gTUwiLCJjb21wYW55X25hbWUiOiJDb3Rpdml0aSIsImFkZHJlc3NfY2l0eSI6IlVuaXRlZCBTdGF0ZXMiLCJodGlkb2NpZCI6IkI5bGNkRG4tWHNrZHNFbnZBQUFBQUE9PSIsInV1bGUiOiJ3K0NBSVFJQ0lOVlc1cGRHVmtJRk4wWVhSbGN3IiwiZ2wiOiJ1cyIsImhsIjoiZW4ifQ==,
Lead Analyst – Data Science,Colorado Rockies,Sports,"Denver, CO",Full-time,"$125,000 - $145,000",5+ years,"Master’s degree in Data Science, Statistics, Mathematics, Computer Science, or related field","Python, R, data analysis, machine learning, statistical methods, data visualization, SQL","Design, build, test, and deploy statistical and machine learning models, analyze player performance data, develop predictive models, translate data analysis into actionable insights, collaborate with various departments, ensure data integrity, prepare and deliver presentations",5,"Medical, Dental, Vision, 401(k) with employer match, generous vacation and holiday program, employee parking, employer provided game tickets, onsite fitness classes, employee discounts on merchandise",Office-based,5 days ago,Long,,,,TeamWork Online,Equal Opportunity Employer,,Standard full-time hours with potential for extended hours during key periods,,Minimal travel required,,,"Stay current with advancements in data science, machine learning, and sports analytics",,"Analytical, problem-solving, communication, teamwork, adaptability, stress management",Generous compensation and benefits package,eyJqb2JfdGl0bGUiOiJMZWFkIEFuYWx5c3Qg4oCTIERhdGEgU2NpZW5jZSIsImNvbXBhbnlfbmFtZSI6IkNvbG9yYWRvIFJvY2tpZXMiLCJhZGRyZXNzX2NpdHkiOiJEZW52ZXIsIENPIiwiaHRpZG9jaWQiOiItcUNmZnVJUUc2MkNlVjdpQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,
Geospatial Data Scientist,NextEra Energy Resources,"Science, Research, and Technology","Denver, CO",Full-time,"$97,600.00 to $146,400.00 per year",2+ years,Bachelor's Degree,"Geospatial data analysis, Python, Git, HPC/cloud computing, machine learning, optimization, statistics, applied mathematics","Developing novel datasets, conducting geospatial analyses, providing cartography, collaborating with team, creating new datasets and tools, supporting transmission and renewable energy projects, developing algorithms and modeling techniques",2+ years,"Health insurance, wide range of benefits","Exempt, Full Time",2 days ago,Long,,,,LinkedIn,Diverse and inclusive workplace,,,,,Git,,Opportunities for growth and development,,,,eyJqb2JfdGl0bGUiOiJHZW9zcGF0aWFsIERhdGEgU2NpZW50aXN0IiwiY29tcGFueV9uYW1lIjoiTmV4dEVyYSBFbmVyZ3kgUmVzb3VyY2VzIiwiYWRkcmVzc19jaXR5IjoiRGVudmVyLCBDTyIsImh0aWRvY2lkIjoiRE0wSFNnMWJ0NjJQNk9tRkFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
Data Science Lead Analyst (Medicare),The Cigna Group,Healthcare,"San Francisco, CA (+9 others)",Full-time,"$83,000 - $138,300 USD / yearly",2+ years,,"SAS, SQL, R, Python, Teradata, Hadoop, Machine Learning, Python, SQL, Git","Contribute to Medicare Clinical and Customer strategy, analyze healthcare claims, clinical outcomes, customer enrollment patterns, develop analytical models, document methodology, communicate project results, present technical topics, forecast business metrics",2+ years,"Health insurance, dental insurance, paid time off, 401(k) with company match, life insurance, tuition reimbursement, 18 days of paid time off per year, paid holidays",Hybrid,1 day ago,Long,,,,Cigna - The Cigna Group,,,,,,,,,,,,eyJqb2JfdGl0bGUiOiJEYXRhIFNjaWVuY2UgTGVhZCBBbmFseXN0IChNZWRpY2FyZSkgLSBIeWJyaWQiLCJjb21wYW55X25hbWUiOiJUaGUgQ2lnbmEgR3JvdXAiLCJhZGRyZXNzX2NpdHkiOiJTYW4gRnJhbmNpc2NvLCBDQSIsImh0aWRvY2lkIjoia3ZndjhVZ2RKVHAtd2FYdUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
Principal Data Scientist,Sovrn,Software and Data,"Boulder, CO",Full-time,"$190,000 to $215,000 annually",8+ years,"Bachelor's degree in Statistics, Data Science, Mathematics, or related field","Machine learning, statistical modeling, Python programming, deep learning frameworks (TensorFlow, PyTorch, Keras), cloud computing platforms (AWS, GCP), MLOps frameworks (Kubeflow, MLFlow)","Lead and scale data science, drive ad targeting, bidding strategies, and audience-building innovation, develop predictive models and algorithms, collaborate with teams to align data-driven strategies with business objectives",8+ years,"Competitive salaries, stock options, medical, dental, and vision coverage, short and long-term disability, life insurance, 11 paid holidays, flexible vacation, commuter benefits, 401(k) plan and match, paid parental leave program",Hybrid,10 days ago,Long,,,,Greenhouse,"Candid, Customer Empathy, Learning, Scrappy, Second Order Thinking",,,,,,,Encouraged to learn new things in the role,Available,Strong communication and leadership abilities,,eyJqb2JfdGl0bGUiOiJQcmluY2lwYWwgRGF0YSBTY2llbnRpc3QiLCJjb21wYW55X25hbWUiOiJTb3ZybiIsImFkZHJlc3NfY2l0eSI6IkJvdWxkZXIsIENPIiwiaHRpZG9jaWQiOiJOT2JrVElUbjlqbXNPcXFMQUFBQUFBPT0iLCJ1dWxlIjoidytDQUlRSUNJTlZXNXBkR1ZrSUZOMFlYUmxjdyIsImdsIjoidXMiLCJobCI6ImVuIn0=,
Full Stack Data Scientist,Cardinal Health,Healthcare,United States,Full-time,"$93,500 - $133,600",At least 4 years,"Bachelor’s degree in mathematics, Statistics, Engineering, Computer Science, or equivalent","Machine Learning, Generative AI, Full Stack Development, Python, Java, JavaScript, React, Angular, Vue.js, DevOps tools, Cloud data engineering, REST APIs, Microservices","Develop and deploy ML models, Develop and maintain GenAI solutions, Build user-facing applications, Construct robust APIs, Build and maintain ML pipelines, Create data visualizations, Collaborate with cross-functional teams, Stay current on AI trends",At least 2 years in Healthcare industry,"Medical, dental and vision coverage, Paid time off plan, Health savings account, 401k savings plan, Flexible spending accounts, Short- and long-term disability coverage, Work-Life resources, Paid parental leave, Healthy lifestyle programs",Remote,,Long,,,,Cardinal Health,Inclusive workplace that values diversity,,,,,,,Continuous learning encouraged,,,Access to wages before pay day with myFlexPay,eyJqb2JfdGl0bGUiOiJGdWxsIFN0YWNrIERhdGEgU2NpZW50aXN0IiwiY29tcGFueV9uYW1lIjoiQ2FyZGluYWwgSGVhbHRoIiwiYWRkcmVzc19jaXR5IjoiVW5pdGVkIFN0YXRlcyIsImh0aWRvY2lkIjoiWmo3MVNUNFF5cjdCM3dRUUFBQUFBQT09IiwidXVsZSI6IncrQ0FJUUlDSU5WVzVwZEdWa0lGTjBZWFJsY3ciLCJnbCI6InVzIiwiaGwiOiJlbiJ9,
